LABEL_1,LABEL_2,LABEL_3,LABEL_4,LABEL_5,LABEL_6,LABEL_7,LABEL_8,LABEL_9,LABEL_10,LABEL_11,LABEL_12,LABEL_13,LABEL_14,LABEL_15,LABEL_16,LABEL_17,LABEL_18,LABEL_19,LABEL_20,LABEL_21,LABEL_22,LABEL_23,LABEL_24,LABEL_25,LABEL_26,LABEL_27,LABEL_28,LABEL_29,LABEL_30,LABEL_31,LABEL_32
1.35971,1.40629,1.57001,1.31708,2.9104,2.63749,2.55757,2.42643,1.62409,1.54152,2.06152,1.65382,2.07695,2.16234,2.06556,1.8842,1.86935,1.90311,1.93051,1.75381,1.75536,1.63677,1.6957,1.76672,1.75393,1.66083,1.50578,1.27484,1.82421,1.94254,1.31615,1.26169
1.54479,1.5937,2.70465,2.32575,3.09095,3.72902,3.48441,3.70066,1.7684,1.64438,3.43663,3.00498,2.54051,2.90221,2.65569,3.03189,2.48105,2.51402,2.31605,2.32994,2.30237,2.14528,2.59482,2.54105,1.72114,1.78104,1.51539,1.48868,1.95975,1.84335,1.46005,1.44402
2.69243,2.69114,2.96122,2.80489,3.03893,3.29956,4.0223,3.28366,2.33693,2.35139,4.12394,3.43033,3.97023,3.51724,3.68656,3.25786,3.20127,3.0024,2.95059,2.47434,2.33251,2.21353,3.28769,2.86184,1.9881,1.80735,1.98445,2.08426,2.65396,2.51691,1.83771,1.8468
2.70771,2.52984,2.78284,2.82732,3.33224,4.11984,4.35867,3.70772,2.39242,2.29895,4.16698,3.85989,3.92249,3.9077,3.33765,3.51398,2.99917,3.05739,2.77165,2.83173,2.30944,2.48888,2.71108,3.30319,2.10799,1.97852,1.9612,1.91866,2.45936,2.24069,1.7122,1.68976
3.15491,2.99801,3.02937,3.10872,3.59981,3.879,4.50744,3.75869,2.7889,2.35063,3.60923,3.30508,3.75201,3.11177,2.95263,3.32919,3.15368,2.85376,2.60404,2.86972,2.13955,2.4809,2.95771,2.88073,2.21609,2.1838,2.27208,2.25652,2.9911,2.6978,1.98346,1.77236
2.76676,2.09647,2.71016,2.48636,2.80834,3.18659,3.37657,3.25543,2.38481,2.15145,4.10939,2.79455,3.31704,2.86108,2.69911,2.5329,2.38913,2.25962,2.15404,1.89807,2.06784,2.07912,2.87908,2.33834,1.86866,1.64172,1.85595,1.72602,2.30034,1.94704,1.8064,1.66638
2.49034,2.57514,2.36058,2.54935,3.414,3.60903,2.94793,2.85709,2.29408,1.90606,3.3178,2.52775,2.68211,2.53883,2.47862,2.476,2.61486,2.48018,2.73573,2.45516,2.16539,1.95699,2.23706,2.00549,2.00202,1.92535,2.06479,1.93361,2.68485,2.31824,1.83134,1.72898
2.44684,2.36226,3.03281,3.18368,3.63452,4.3227,3.37887,4.15859,2.65076,2.27357,4.27411,3.54837,2.739,2.56501,3.86714,4.28069,3.42619,3.29421,2.89584,2.87672,2.42258,2.57531,2.85315,2.74742,2.05357,2.07815,2.33339,2.20151,2.73507,2.59504,1.97516,1.79444
2.17149,2.30064,2.836,2.73598,4.06023,4.22491,3.29764,3.28226,2.42215,2.10207,3.67272,3.16147,3.12155,2.68452,3.33637,2.38393,2.79648,2.60995,2.5183,2.15905,2.45768,2.40076,2.72219,2.48001,1.99602,2.01288,2.03475,2.03123,2.51057,2.70739,1.66806,1.69504
2.79158,2.84559,3.03621,2.50716,3.38099,3.57464,3.31066,3.10681,1.99486,1.84933,2.93158,2.96974,2.68995,2.91815,2.1762,2.42405,2.75856,2.59717,2.42348,2.34697,2.42088,2.18747,2.57226,2.75197,2.14651,2.20628,2.43128,2.30136,2.38193,2.14592,2.04507,1.88517
2.38693,2.70246,2.59905,2.74617,3.71163,3.71581,3.54682,3.99508,2.1201,2.02441,3.40144,3.56767,2.72249,3.05171,3.40872,3.14302,2.96518,3.13558,2.72003,3.0503,2.47207,2.39565,2.9094,2.52611,2.06656,2.04642,2.3895,2.56819,2.66589,2.67168,1.78799,1.9386
2.60941,2.77681,3.18566,3.02386,3.43299,3.82196,3.06299,2.76242,2.11177,1.94164,3.27099,3.05641,3.04347,2.69171,3.16367,2.27422,2.81224,2.5917,2.50907,2.35401,2.17942,2.17263,2.98141,3.07392,2.24933,1.8878,2.3311,2.44604,2.32057,2.38515,1.80946,1.7137
2.42952,2.45128,2.74242,2.12873,2.90008,3.0445,2.57822,2.62062,2.12979,2.07354,2.8284,2.17801,2.86814,2.39058,2.05464,2.14768,2.29763,2.08677,1.78927,1.73884,1.89197,2.19411,2.20808,2.43945,1.87263,1.77105,1.71453,1.73866,1.97239,1.91633,1.64768,1.61477
2.60804,2.67587,3.28152,3.17301,3.80974,3.93806,3.68978,2.97381,2.48946,2.08478,2.62136,2.10978,3.00758,2.9236,2.64505,2.95318,3.05132,3.04516,2.61527,2.62068,2.81941,2.75563,2.64479,3.47457,2.35704,2.20563,2.5488,2.54659,3.02281,2.43246,2.45581,2.01214
1.72559,2.09535,2.28231,2.27651,2.71584,3.07795,2.51526,2.36039,1.4214,1.41893,2.26109,2.65892,1.82579,1.97587,0.867426,0.305943,2.24027,2.03627,2.28008,1.32322,1.38031,1.18175,1.94702,1.78092,1.20952,1.29063,1.67779,1.89499,1.75015,1.84373,1.21471,1.22571
1.9364,1.84085,2.78322,2.4965,4.17398,4.69699,2.90834,2.55729,1.88652,1.88779,3.3333,2.75538,3.4,2.91607,2.20764,2.21203,1.86575,1.75376,1.81874,1.85409,1.56244,1.77862,2.32322,1.96026,1.19199,1.34505,1.86272,1.6459,2.35046,1.7993,1.44247,1.31696
2.4228,2.67681,2.60109,2.6077,2.90752,3.107,2.83424,2.98755,1.84217,1.55323,2.90207,2.59525,2.68591,2.61843,3.36829,3.57717,2.37726,2.32913,2.18563,1.90825,1.71836,1.74816,2.74686,2.58049,1.44571,1.617,1.73609,1.941,1.94695,1.91658,1.45131,1.50885
2.00325,1.75802,2.52408,2.35512,3.90652,4.13831,2.69121,3.1674,2.31981,2.06659,2.50737,2.27932,2.71562,2.61418,2.31118,2.17058,2.51831,2.38657,2.16014,2.05136,1.90672,1.9284,2.3937,2.53559,1.85397,1.7738,2.00405,2.03017,1.76477,1.87598,1.53631,1.44703
2.69257,2.48843,2.25115,2.33061,3.2586,3.44814,2.44277,2.62654,2.05388,1.87307,2.78958,2.23842,2.90776,2.81541,2.05489,1.97579,2.32885,2.28604,2.21217,2.01891,1.79273,1.87559,2.03277,2.70784,2.01981,1.96922,1.95337,1.98169,2.15617,2.08244,1.79632,1.59647
2.10567,2.29649,3.0757,2.65944,3.43663,3.13085,2.61712,2.61504,2.58116,1.91893,3.0075,2.29023,2.63192,2.36714,2.35664,2.29789,2.69706,2.66645,2.31623,2.21681,2.66916,2.20934,2.45343,2.45279,2.34381,2.08526,1.86916,1.99768,2.33691,2.05344,2.03852,1.66583
